TcCL_NonESM08181	36	TcCL_NonESM08181_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
LSM04_007773	47	LSM04_007773_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
TcSYL_0087690	42	TcSYL_0087690_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
TcCL_ESM11260	58	TcCL_ESM11260_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
TcCL_NonESM08223	34	TcCL_NonESM08223_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
TcSYL_0204280	52	TcSYL_0204280_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
DQ04_16771000	33	DQ04_16771000_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb
LTRL590_350042000	35	LTRL590_350042000_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
LENLEM3045_360027500	55	LENLEM3045_360027500_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
EMOLV88_000036700	46	EMOLV88_000036700_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
TcCL_Unassigned03344	54	TcCL_Unassigned03344_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
TcSYL_0098570	39	TcSYL_0098570_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
LMJLV39_100010000	55	LMJLV39_100010000_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
PCON_0078470	47	PCON_0078470_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
LENLEM3045_120011600	56	LENLEM3045_120011600_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
LGELEM452_270025200	50	LGELEM452_270025200_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
LENLEM3045_270010100	50	LENLEM3045_270010100_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
