Tb927.3.3740_1-621_1	55.39
Tb927.3.4710_1-546_1	53.54
Tb927.5.3990_1-477_1	74.91
Tb927.3.930_1782-2191_1	92.31
Tb927.7.1750_1-242_1	94.49
Tb927.5.3460_1-537_1	49.34
Tb927.8.2390_1-1465_1	50.75
Tb11.v5.0819_1-259_1	77.58
Tb927.3.1510_1-366_1	80.65
Tb927.5.400_1-522_1	78.87
Tb927.7.7030_1-651_1	53.11
Tb927.4.800_921-1320_1	81.4
Tb927.5.570_1342-1741_1	58.8
Tb927.8.8300_1-471_1	83.31
Tb927.7.4660_1-309_1	92.79
Tb927.7.5910_1-120_1	89.37
Tb927.3.1400_1-334_1	71.29
Tb11.v5.0261_1-141_1	96.78
Tb927.6.1850_1-526_1	82.18
Tb927.3.2080_1-260_1	89.72
Tb927.2.900_1-123_1	35.76
Tb927.4.3810_509-1190_1	89.65
Tb927.7.7000_429-828_1	54.38
Tb927.4.690_1-332_1	93.3
Tb927.3.5655_1-77_1	66.62
Tb927.4.3840_1-579_1	73.77
Tb927.5.2260_1-116_1	89.75
Tb927.8.2380_302-701_1	70.13
Tb927.6.900_611-980_1	62.35
Tb927.3.680_1-584_1	86.96
Tb927.8.5710_631-918_1	63.84
Tb927.5.3250_1385-1557_1	74.55
Tb927.1.2670_1-513_1	94.91
Tb927.7.920_1-708_1	81.26
Tb927.6.5260_1-461_1	81.28
Tb927.6.1560_1-583_1	87.8
Tb927.5.1450_1-1249_1	81.48
Tb927.3.2600_1225-1624_1	85.04
Tb927.7.5700_1-320_1	82.13
Tb927.7.6950_220-619_1	57.85
Tb927.8.4600_1-345_1	68.3
Tb927.6.470_1-457_1	75.63
Tb927.2.280_1-789_1	80.11
Tb927.8.5280_1-257_1	69.55
Tb927.7.5440_1161-1560_1	65.72
Tb927.5.4310_796-814_1	65.28
Tb927.8.8270_1-400_1	71.46
Tb927.7.6060_717-1270_1	76.78
Tb927.8.6940_1211-1460_1	83.02
Tb927.8.4850_1-300_1	70.99
Tb927.1.4740_235-634_1	63.36
Tb927.8.5910_1-304_1	78.28
Tb927.3.2710_600-999_1	79.35
Tb927.4.1160_1-908_1	39.76
Tb927.1.3250_539-938_1	72.52
Tb927.3.4280_1-790_1	81.71
Tb927.4.4820_1-473_1	81.23
Tb927.7.7200_1760-2159_1	52.94
Tb927.8.8130_1-716_1	52.05
Tb927.5.900_296-695_1	81.89
Tb927.2.4110_1-469_1	91.74
Tb927.7.7400_1-2197_1	48.78
Tb927.8.7940_1-1250_1	81.52
Tb05.5K5.60_1-218_1	72.45
Tb927.6.2410_1-204_1	52.88
Tb927.4.4400_1-1736_1	41.11
Tb927.7.220_1-406_1	84.16
Tb927.5.4270_1-828_1	70.74
Tb927.2.4990_1-828_1	71.55
Tb927.6.4780_48-746_1	87.37
Tb927.5.4300_1-443_1	78.78
Tb927.6.2320_1-188_1	72.92
Tb927.4.2630_1-843_1	72.24
Tb927.7.3850_770-994_1	54.81
Tb927.7.5090_1-954_1	50.7
Tb927.8.2000_1-262_1	83.13
Tb927.6.3500_698-1340_1	82.66
Tb927.8.2030_1-421_1	83.25
Tb927.7.4090_1-690_1	65.63
Tb927.6.3560_511-910_1	70.48
Tb927.8.7380_1-546_1	90.2
Tb927.3.710_1-665_1	77.05
Tb927.6.4640_1-547_1	75.73
Tb10.v4.0218_1-324_1	76.92
Tb05.5K5.90_1-90_1	93.38
Tb927.7.1480_1-402_1	75.26
Tb927.8.3350_755-1057_1	85.24
Tb927.6.5095_1-72_1	66.7
Tb927.5.2950_1-779_1	71.7
Tb927.8.800_694-1093_1	70.2
Tb927.8.2780_1-306_1	58.97
Tb927.5.1460_1-326_1	90.17
Tb927.7.1290_1-242_1	76.69
Tb927.6.3280_1027-1426_1	87.3
Tb927.1.5300_1-463_1	83.09
Tb11.v5.0992_1-174_1	81.62
Tb927.7.7400_1727-2126_1	55.94
Tb927.8.6230_1-329_1	67.23
Tb11.v5.0245_1-729_1	57.67
Tb927.7.2680_1-708_1	46.33
Tb927.6.2490_1-240_1	82.69
Tb927.6.4920_1-397_1	95.79
Tb927.3.930_1992-2391_1	91.16
Tb927.3.2230_1-301_1	92.96
Tb927.5.2360_1-753_1	59.14
Tb927.4.2140_1-1000_1	71.17
Tb11.v5.0342_1-290_1	61.41
Tb927.1.1370_1-679_1	79.08
Tb927.7.6390_469-868_1	40.74
Tb927.8.6270_1-605_1	76.92
Tb927.5.920_1-449_1	67.64
Tb927.8.7400_1-596_1	87.08
Tb927.7.6620_1-540_1	76.82
Tb927.2.5980_1-870_1	85.62
Tb927.2.3780_1-833_1	78.29
Tb927.4.4560_494-893_1	77.63
Tb927.4.2580_598-1006_1	76.42
Tb11.v5.0934_1-272_1	61.89
Tb10.v4.0130_1167-1566_1	40.02
Tb11.v5.0254_1219-1467_1	77.88
Tb927.2.4530_1-237_1	65.56
Tb927.5.3590_1-608_1	69.37
Tb927.4.300_1-572_1	78.39
Tb11.v5.0955_1-214_1	78.4
Tb927.5.3960_1-368_1	92.46
Tb927.7.3130_1-956_1	49.18
Tb927.6.3410_1-311_1	70.61
Tb927.1.4680_1-331_1	74.02
Tb927.3.3700_1-155_1	40.68
Tb11.v5.0242_2178-2577_1	91.32
Tb927.3.5230_1-477_1	76.02
Tb927.4.1590_322-430_1	80.84
Tb10.v4.0050_1-143_1	75.08
Tb927.6.3670_2580-2979_1	82.98
Tb927.5.3070_1-538_1	68.16
Tb927.4.470_1-229_1	63.89
Tb927.5.120_1-257_1	42.77
Tb11.v5.0561_1-403_1	91.96
Tb927.8.6855_1-28_1	65.45
Tb927.4.1880_1-306_1	52.66
Tb927.2.5540_1-2060_1	51.93
Tb927.6.4030_1-263_1	87.97
Tb927.8.4830_1-278_1	74.9
Tb927.3.2150_1-362_1	87.43
Tb927.8.7780_624-822_1	67.92
Tb927.7.4720_1-238_1	73.25
Tb927.3.4750_1-871_1	94.5
Tb927.5.740_1-209_1	66.9
Tb927.5.670_740-962_1	80.39
Tb927.3.4110_1-595_1	89.71
Tb927.7.7090_1-152_1	60.76
Tb927.4.5330_646-883_1	32.91
Tb927.6.1630_1-349_1	82.56
Tb927.5.2560_1-73_1	81.32
Tb927.8.1110_1-190_1	90.91
Tb927.5.1850_889-1288_1	34.27
Tb11.v5.0946_1-205_1	63.81
Tb927.4.4130_340-739_1	85.19
Tb927.5.2460_1-492_1	66.94
Tb927.8.2850_1-586_1	86.72
Tb927.6.815_1-109_1	75.65
Tb927.6.3220_1-426_1	68.2
Tb927.4.5190_1-149_1	93.08
Tb927.3.5310_1630-2128_1	45.76
Tb927.6.2530_1-216_1	57.93
Tb927.8.6290_1-421_1	84.42
Tb927.3.5510_303-702_1	94.18
Tb927.3.4650_1-221_1	95.62
Tb927.6.3550_1-674_1	78.69
Tb927.7.1400_1-553_1	55.64
Tb927.2.2860_1-368_1	53.55
Tb927.8.2430_514-913_1	84.44
Tb11.v5.0975_1-196_1	90.15
Tb927.7.7560_1-88_1	41.09
Tb927.4.3160_640-1039_1	89.36
Tb927.8.1590_1475-2118_1	67.51
Tb927.7.4330_1-934_1	47.62
Tb927.7.4760_1-539_1	70.56
Tb927.6.950_1-785_1	89.39
Tb927.3.1530_1-427_1	76.97
Tb927.1.3410_1-437_1	64.12
Tb11.v5.0674_1-560_1	71.8
Tb927.7.2390_595-951_1	58.79
Tb927.4.5790_1-289_1	94.26
Tb927.8.730_1-253_1	69.26
Tb927.8.8250_1-461_1	85.92
Tb927.3.5460_1-521_1	57.97
Tb927.7.4530_1-696_1	55.02
Tb927.4.1280_1-398_1	86.93
Tb927.7.5790_1-135_1	89.2
Tb11.v5.0321_1-442_1	59.46
Tb927.7.7190_514-913_1	42.78
Tb927.7.5920_1-374_1	94.07
Tb10.v4.0044_1-663_1	76.91
Tb927.7.5690_1-608_1	72.1
Tb927.6.1820_1-200_1	91.48
Tb11.v5.0156_1-430_1	76.9
Tb927.4.870_1048-1447_1	88.03
Tb927.7.7290_414-901_1	73.74
Tb927.2.6280_1-466_1	86.32
Tb927.2.4150_1-319_1	62.63
Tb927.8.4540_1-550_1	54.02
Tb927.5.291b_1-333_1	74.55
Tb927.4.5440_1-247_1	57.35
Tb04.3I12.100_1-151_1	44.37
Tb927.6.3670_1148-2311_1	77.58
Tb927.6.4760_1-794_1	80.73
Tb927.4.4440_366-765_1	91.23
Tb927.6.4620_1-155_1	79.09
Tb927.3.4350_1-774_1	70.76
Tb10.v4.0099_1-193_1	56.52
Tb927.8.5580_548-1308_1	73.11
Tb927.8.2460_1-284_1	60.17
Tb927.8.3250_1-479_1	84.04
Tb927.3.3330_1-141_1	82.07
Tb927.4.3110_1-419_1	89.13
Tb927.1.4420_1-771_1	72.0
Tb927.7.4260_1-263_1	73.17
Tb09.v4.0177_1-485_1	75.68
Tb927.6.3920_1-159_1	72.6
Tb927.7.3620_1-697_1	92.15
Tb927.5.2980_1-1081_1	72.86
Tb927.3.940_1-154_1	79.18
Tb927.7.7510_14-245_1	37.25
Tb927.2.4520_526-925_1	70.9
Tb927.7.780_1-630_1	79.07
Tb927.8.1050_1140-2653_1	56.47
Tb927.5.288b_1-247_1	97.06
Tb927.8.5960_1-165_1	93.08
Tb11.0760_1-165_1	92.34
Tb927.4.790_1-220_1	67.47
Tb927.4.3810_1-508_1	85.53
Tb927.2.5600_897-1296_1	46.55
Tb927.1.830_198-597_1	90.79
Tb927.6.330_1-1268_1	81.8
Tb927.8.6490_367-766_1	73.07
Tb927.8.2660_1303-1919_1	58.83
Tb11.v5.0737_1-295_1	88.13
Tb927.8.2870_1-748_1	70.34
Tb927.7.6050_1-717_1	88.42
Tb927.8.2240_1-473_1	85.34
Tb927.4.4790_1-228_1	79.44
Tb927.8.5940_1-472_1	78.26
Tb927.2.2450_1-432_1	68.89
Tb927.3.1980_1-296_1	79.11
Tb927.7.4230_1-231_1	78.65
Tb927.4.550_1-144_1	72.04
Tb927.3.1330_1-1425_1	63.4
Tb11.v5.1044_1-435_1	88.41
Tb927.4.5460_1-504_1	80.23
Tb927.5.2940_1-550_1	89.77
Tb927.7.7120_727-810_1	57.42
Tb05.5K5.30_1-636_1	76.85
Tb927.6.2600_1-143_1	82.72
Tb927.8.3410_456-885_1	87.76
Tb927.6.2520_555-854_1	54.99
Tb11.v5.0991_1-334_1	85.85
Tb927.2.1860_1-872_1	88.73
